station_ID,Charing station name,City,State,Address line 1,Address line 2,Lng,Lat,Category
7905,Rhodes Waterside,Sydney,New South Wales,Rhodes Waterside,"1 Rider Boulevard, Rhodes NSW 2138, Australia",151.0848349,-33.8359626,"['no_fee', 'no_fee.no', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7906,Tesla Supercharger,Sydney,New South Wales,Tesla Supercharger,"Greek Street, Glebe NSW 2037, Australia",151.1946269,-33.8829291,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7907,Tesla Mascot King Street,Sydney,New South Wales,Tesla Mascot King Street,"338 King Street, Mascot NSW 2020, Australia",151.186122,-33.9285142,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7908,Tesla Supercharger,Central Coast Council,New South Wales,Tesla Supercharger,"Wyong Road, Tuggerah NSW 2259, Australia",151.420595,-33.3101932,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7909,NRMA Fast Charger,Sydney,New South Wales,NRMA Fast Charger,"Murray Rose Avenue, Sydney Olympic Park NSW 2127, Australia",151.0698417,-33.8460153,"['access', 'access.yes', 'no_fee', 'no_fee.no', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7910,NRMA Fast Charger,Lithgow,New South Wales,NRMA Fast Charger,"Read Avenue, Cooerwull NSW 2790, Australia",150.1611444,-33.4780477,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7911,Chargefox,Sydney,New South Wales,Chargefox,"4 Defries Avenue, Zetland NSW 2017, Australia",151.2129122,-33.9053712,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7912,Chargefox,Sydney,New South Wales,Chargefox,"Station Street, Rooty Hill NSW 2766, Australia",150.8452155,-33.7708416,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7913,Tesla Supercharger,Sydney,New South Wales,Tesla Supercharger,"197-201 Herring Road, Macquarie Park NSW 2113, Australia",151.1207792,-33.7781529,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7914,"Bungan Street, Mona Vale",Sydney,New South Wales,"Bungan Street, Mona Vale","Bungan Street, Sydney NSW 2103, Australia",151.3031271,-33.6761424,"['access', 'access.yes', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7915,Richmond Tavistock No. 3,Sydney,New South Wales,Richmond Tavistock No. 3,"Richmond Road, Homebush West NSW 2140, Australia",151.0644363,-33.8660864,"['access', 'access.yes', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7916,ANZAC Wise,Sydney,New South Wales,ANZAC Wise,"Anzac Parade, Maroubra NSW 2035, Australia",151.2396953,-33.9435652,"['access', 'access.yes', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7917,Goodwood St,Sydney,New South Wales,Goodwood Street,"Kensington NSW 2033, Australia",151.2241142,-33.9071444,"['access', 'access.yes', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7918,Tesla Supercharger,Sydney,New South Wales,Tesla Supercharger,"Princes Highway, Kirrawee NSW 2232, Australia",151.0735387,-34.0325789,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7919,Rhodes Central,Sydney,New South Wales,Rhodes Central,"Marquet Street, Rhodes NSW 2138, Australia",151.0860347,-33.8300902,"['access', 'access.yes', 'no_fee', 'no_fee.no', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7920,Marina Square,Sydney,New South Wales,Marina Square,"Footbridge Boulevard, Wentworth Point NSW 2127, Australia",151.0790514,-33.8256295,"['access', 'access.yes', 'no_fee', 'no_fee.no', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7921,Castle Towers,Sydney,New South Wales,Castle Towers,"6-14 Castle Street, Castle Hill NSW 2154, Australia",151.0065082,-33.7296798,"['access', 'access.yes', 'no_fee', 'no_fee.no', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7922,Tesla Destination Charger,Sydney,New South Wales,Tesla Destination Charger,"Rosenthal Avenue, Lane Cove NSW 2066, Australia",151.1694068,-33.8130165,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7923,Jetcharge,Sydney,New South Wales,Jetcharge,"Norwich Road, Rose Bay NSW 2029, Australia",151.2681007,-33.871695,"['fee', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7924, ,Sydney,New South Wales,John Flak Avenue,"Kingswood NSW 2747, Australia",150.7291974,-33.7698741,"['access', 'access.yes', 'no_fee', 'no_fee.no', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7925, ,Gosford,New South Wales,107 The Scenic Road,"Killcare Heights NSW 2257, Australia",151.3749048,-33.5212508,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7926, ,Sydney,New South Wales,357-363 George Street,"Sydney NSW 2000, Australia",151.2063604,-33.8682863,"['no_fee', 'no_fee.no', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7927, ,Sydney,New South Wales,Barbula Road,"Denham Court NSW 2565, Australia",150.8118548,-33.9760165,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7928, ,Sydney,New South Wales,Barbula Road,"Denham Court NSW 2565, Australia",150.8118557,-33.9760436,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7929,EVLink,Sydney,New South Wales,EVLink,"Anderson Street, Sydney NSW 2067, Australia",151.1833566,-33.7965055,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7930, ,Sydney,New South Wales,1 Dalgal Way,"Forest Lodge NSW 2037, Australia",151.1778386,-33.8763052,"['access', 'access.yes', 'fee', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7931, ,Sydney,New South Wales,Silver Street,"Randwick NSW 2031, Australia",151.2391178,-33.9138057,"['access', 'access.yes', 'no_fee', 'no_fee.no', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7932, ,Sydney,New South Wales,Munda Street,"Randwick NSW 2031, Australia",151.2464722,-33.9306373,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7933, ,Sydney,New South Wales,Queen Elizabeth Drive,"Bondi Beach NSW 2026, Australia",151.2762714,-33.8908025,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7934, ,Sydney,New South Wales,Corr Road,"Caddens NSW 2747, Australia",150.7352534,-33.7693688,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7935, ,Sydney,New South Wales,South Dowling Street,"Zetland NSW 2017, Australia",151.2130127,-33.9069877,"['fee', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7936, ,Sydney,New South Wales,Joseph Street,"Cabramatta NSW 2166, Australia",150.9199428,-33.8988886,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7937, ,Sydney,New South Wales,Smidmore Street,"Marrickville NSW 2204, Australia",151.1716659,-33.9080986,"['access', 'access.yes', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7938, ,Sydney,New South Wales,McDonalds Drive-Thru,"Schofields NSW 2762, Australia",150.8754276,-33.7054584,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7939, ,Sydney,New South Wales,Birdwood Lane,"Lane Cove NSW 2066, Australia",151.1692687,-33.8135004,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7940, ,Sydney,New South Wales,Dickson Road,"Leppington NSW 2179, Australia",150.8040539,-33.9532239,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7941, ,Sydney,New South Wales,Hoskins Avenue,"Bankstown NSW 2200, Australia",151.0301289,-33.9320564,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7942, ,Sydney,New South Wales,Liverpool Road,"Burwood NSW 2133, Australia",151.099324,-33.8872485,"['access', 'access.yes', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7943, ,Sydney,New South Wales,Rooty Hill Road South,"Eastern Creek NSW 2766, Australia",150.8530426,-33.7848221,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7944, ,Sydney,New South Wales,Corfield Road,"Prestons NSW 2170, Australia",150.8557293,-33.9522711,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7945, ,Sydney,New South Wales,Forestville Mall,"The Centre NSW 2087, Australia",151.2141725,-33.7620853,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7946, ,Sydney,New South Wales,Oaks Avenue,"Dee Why NSW 2099, Australia",151.2869984,-33.7537383,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7947, ,Sydney,New South Wales,Mona Vale Road,"Terrey Hills NSW 2084, Australia",151.2241781,-33.6892385,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
