Models,Fuel_usage,Fuel_unit,City_FE,Hwy_FE,Comb_FE
2023_Chevrolet_CAMARO,Gasoline,MPG,22.0,30.0,25.0
2023_Chevrolet_CAMARO,Gasoline,MPG,19.0,28.0,22.0
2023_Chevrolet_CAMARO,Gasoline,MPG,18.0,29.0,22.0
2023_Chevrolet_CAMARO,Gasoline,MPG,16.0,26.0,20.0
2023_Chevrolet_CAMARO,Gasoline,MPG,13.0,21.0,16.0
2023_Chevrolet_CAMARO,Gasoline,MPG,16.0,26.0,20.0
2023_Chevrolet_CAMARO,Gasoline,MPG,16.0,24.0,19.0
2023_Chevrolet_CAMARO,Gasoline,MPG,14.0,20.0,16.0
"2023_Ferrari North America, Inc._Roma",Gasoline,MPG,17.0,22.0,19.0
2023_Ford_MUSTANG,Gasoline,MPG,22.0,32.0,25.0
2023_Ford_MUSTANG,Gasoline,MPG,21.0,31.0,24.0
2023_Ford_MUSTANG,Gasoline,MPG,21.0,29.0,24.0
2023_Ford_MUSTANG,Gasoline,MPG,15.0,24.0,19.0
2023_Ford_MUSTANG,Gasoline,MPG,15.0,24.0,18.0
2023_Ford_MUSTANG CONVERTIBLE,Gasoline,MPG,20.0,28.0,23.0
2023_Ford_MUSTANG CONVERTIBLE,Gasoline,MPG,20.0,28.0,23.0
2023_Ford_MUSTANG CONVERTIBLE,Gasoline,MPG,20.0,27.0,23.0
2023_Ford_MUSTANG CONVERTIBLE,Gasoline,MPG,15.0,23.0,18.0
2023_Ford_MUSTANG HO CONVERTIBLE,Gasoline,MPG,19.0,26.0,22.0
2023_Ford_MUSTANG HO CONVERTIBLE,Gasoline,MPG,19.0,25.0,21.0
2023_Ford_MUSTANG HO COUPE,Gasoline,MPG,20.0,27.0,23.0
2023_Ford_MUSTANG HO COUPE,Gasoline,MPG,20.0,27.0,22.0
2023_Ford_MUSTANG MACH 1,Gasoline,MPG,15.0,23.0,18.0
2023_Ford_MUSTANG MACH 1,Gasoline,MPG,14.0,22.0,17.0
2023_LEXUS_LC 500,Gasoline,MPG,16.0,25.0,19.0
2023_LEXUS_LC 500h,Gasoline,MPG,26.0,33.0,29.0
2023_LEXUS_RC 300,Gasoline,MPG,21.0,31.0,25.0
2023_LEXUS_RC 300 AWD,Gasoline,MPG,19.0,26.0,22.0
2023_LEXUS_RC 350,Gasoline,MPG,20.0,28.0,23.0
2023_LEXUS_RC 350 AWD,Gasoline,MPG,19.0,26.0,22.0
2023_LEXUS_RC F,Gasoline,MPG,16.0,24.0,19.0
2023_Mercedes-Benz_AMG C 43 4MATIC (convertible),Gasoline,MPG,18.0,28.0,22.0
2023_Mercedes-Benz_AMG C 43 4MATIC (coupe),Gasoline,MPG,18.0,27.0,21.0
2023_Mercedes-Benz_AMG E 53 4MATIC+ (Convertible),Gasoline,MPG,20.0,27.0,23.0
2023_Mercedes-Benz_AMG E 53 4MATIC+ (Coupe),Gasoline,MPG,20.0,28.0,23.0
2023_Mercedes-Benz_C 300 (convertible),Gasoline,MPG,21.0,29.0,24.0
2023_Mercedes-Benz_C 300 (Coupe),Gasoline,MPG,22.0,31.0,25.0
2023_Mercedes-Benz_C 300 4MATIC (convertible),Gasoline,MPG,21.0,30.0,25.0
2023_Mercedes-Benz_C 300 4MATIC (Coupe),Gasoline,MPG,22.0,31.0,25.0
2023_Mercedes-Benz_E 450 (convertible),Gasoline,MPG,22.0,29.0,25.0
2023_Mercedes-Benz_E 450 (coupe),Gasoline,MPG,23.0,30.0,25.0
2023_Mercedes-Benz_E 450 4MATIC (convertible),Gasoline,MPG,22.0,29.0,24.0
2023_Mercedes-Benz_E 450 4MATIC (coupe),Gasoline,MPG,21.0,30.0,24.0
2023_Mini_COOPER HARDTOP 2 DOOR,Gasoline,MPG,29.0,38.0,32.0
2023_Mini_COOPER HARDTOP 2 DOOR,Gasoline,MPG,27.0,37.0,31.0
2023_Mini_COOPER HARDTOP 4 DOOR,Gasoline,MPG,29.0,38.0,32.0
2023_Mini_COOPER HARDTOP 4 DOOR,Gasoline,MPG,27.0,37.0,31.0
2023_Mini_COOPER S HARDTOP 2 DOOR,Gasoline,MPG,28.0,38.0,31.0
2023_Mini_COOPER S HARDTOP 2 DOOR,Gasoline,MPG,23.0,33.0,27.0
