Models,Fuel Usage Desc - Conventional Fuel,Fuel Unit - Conventional Fuel,Fuel Unit Desc - Conventional Fuel,City FE (Guide) - Conventional Fuel,Hwy FE (Guide) - Conventional Fuel,Comb FE (Guide) - Conventional Fuel
2023_BMW_330i Sedan,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,25,34,29
2023_BMW_330i xDrive Sedan,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,24,33,27
2023_BMW_430i Gran Coupe,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,25,34,28
2023_BMW_430i xDrive Gran Coupe,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,23,33,27
2023_BMW_M235i xDrive Gran Coupe,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,24,33,27
2023_BMW_M3 Competition M xDrive Sedan,Gasoline (Premium Unleaded Required),MPG,miles per gallon,16,22,18
2023_BMW_M3 Competition Sedan,Gasoline (Premium Unleaded Required),MPG,miles per gallon,16,23,19
2023_BMW_M3 Sedan,Gasoline (Premium Unleaded Required),MPG,miles per gallon,16,23,19
2023_BMW_M340i Sedan,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,23,31,26
2023_BMW_M340i xDrive Sedan,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,23,32,26
2023_BMW_M440i Gran Coupe,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,24,32,27
2023_BMW_M440i xDrive Gran Coupe,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,22,31,25
2023_Cadillac_CT4,Gasoline (Premium Unleaded Required),MPG,miles per gallon,23,34,27
2023_Cadillac_CT4,Gasoline (Premium Unleaded Required),MPG,miles per gallon,21,31,25
2023_Cadillac_CT4 AWD,Gasoline (Premium Unleaded Required),MPG,miles per gallon,22,31,26
2023_Cadillac_CT4 AWD,Gasoline (Premium Unleaded Required),MPG,miles per gallon,21,29,24
2023_Cadillac_CT4 V,Gasoline (Premium Unleaded Required),MPG,miles per gallon,20,29,23
2023_Cadillac_CT4 V,Gasoline (Premium Unleaded Required),MPG,miles per gallon,16,24,19
2023_Cadillac_CT4 V,Gasoline (Premium Unleaded Required),MPG,miles per gallon,15,23,18
2023_Cadillac_CT4 V AWD,Gasoline (Premium Unleaded Required),MPG,miles per gallon,20,28,23
2023_GENESIS_G70 AWD,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,20,28,23
2023_GENESIS_G70 AWD,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,17,26,20
2023_GENESIS_G70 RWD,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,21,31,25
2023_GENESIS_G70 RWD,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,18,27,21
2023_KIA_Rio,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,32,41,36
2023_LEXUS_IS 300,Gasoline (Premium Unleaded Required),MPG,miles per gallon,21,31,25
2023_LEXUS_IS 300 AWD,Gasoline (Premium Unleaded Required),MPG,miles per gallon,19,26,22
2023_LEXUS_IS 350,Gasoline (Premium Unleaded Required),MPG,miles per gallon,20,28,23
2023_LEXUS_IS 350 AWD,Gasoline (Premium Unleaded Required),MPG,miles per gallon,19,26,22
2023_LEXUS_IS 500,Gasoline (Premium Unleaded Required),MPG,miles per gallon,17,25,20
2023_LEXUS_UX 250h,Gasoline (Regular Unleaded Recommended),MPG,miles per gallon,43,41,42
